ledger_id,payment_id,bank_amount,bank_date,bank_status,bank_reference
LED-00001,PAY-00001,37142.14,2026-08-10,posted,BANK-00000001
LED-00002,PAY-00002,4575.21,2026-08-16,posted,BANK-00000002
LED-00003,PAY-00003,11824.88,2026-08-24,posted,BANK-00000003
LED-00004,PAY-00004,21121.11,2026-08-17,posted,BANK-00000004
LED-00005,PAY-00005,17177.46,2026-08-08,posted,BANK-00000005
LED-00006,PAY-00006,19151.38,2026-08-16,posted,BANK-00000006
LED-00007,PAY-00007,36554.16,2026-08-21,posted,BANK-00000007
LED-00008,PAY-00008,14835.62,2026-08-25,posted,BANK-00000008
LED-00009,PAY-00009,2529.76,2026-08-10,posted,BANK-00000009
LED-00010,PAY-00010,19161.28,2026-08-17,posted,BANK-00000010
LED-00011,PAY-00011,10672.97,2026-08-13,posted,BANK-00000011
LED-00012,PAY-00012,36524.06,2026-08-09,posted,BANK-00000012
LED-00013,PAY-00013,10966.84,2026-08-13,posted,BANK-00000013
LED-00014,PAY-00014,13570.11,2026-08-09,posted,BANK-00000014
LED-00015,PAY-00015,44262.99,2026-08-23,posted,BANK-00000015
LED-00016,PAY-00016,12519.72,2026-08-22,posted,BANK-00000016
LED-00018,PAY-00018,37850.16,2026-08-08,posted,BANK-00000018
LED-00019,PAY-00019,29423.10,2026-08-17,posted,BANK-00000019
LED-00020,PAY-00020,43073.79,2026-08-05,posted,BANK-00000020
LED-00021,PAY-00021,5799.72,2026-08-17,posted,BANK-00000021
LED-00022,PAY-00022,48601.43,2026-08-10,posted,BANK-00000022
LED-00023,PAY-00023,30546.27,2026-08-14,posted,BANK-00000023
LED-00024,PAY-00024,16376.76,2026-08-04,posted,BANK-00000024
LED-00025,PAY-00025,3131.78,2026-08-21,posted,BANK-00000025
LED-00026,PAY-00026,48732.99,2026-08-20,posted,BANK-00000026
LED-00027,PAY-00027,26501.77,2026-08-22,posted,BANK-00000027
LED-00028,PAY-00028,20099.87,2026-08-24,posted,BANK-00000028
LED-00029,PAY-00029,12583.30,2026-08-05,posted,BANK-00000029
LED-00030,PAY-00030,11205.81,2026-08-05,posted,BANK-00000030
LED-00031,PAY-00031,43016.86,2026-08-06,posted,BANK-00000031
LED-00032,PAY-00032,27076.89,2026-08-21,posted,BANK-00000032
LED-00033,PAY-00033,9722.89,2026-08-07,posted,BANK-00000033
LED-00035,PAY-00035,40079.48,2026-08-06,posted,BANK-00000035
LED-00036,PAY-00036,22568.52,2026-08-17,posted,BANK-00000036
LED-00037,PAY-00037,43755.68,2026-08-15,posted,BANK-00000037
LED-00038,PAY-00038,32227.34,2026-08-20,posted,BANK-00000038
