payment_id,merchant_id,customer_id,order_id,amount,currency,payment_status,payment_date,payment_method,fee,tax,net_expected
PAY-00001,MER-001,CUS-0004,ORD-000001,37142.14,INR,captured,2026-08-08,upi,668.56,120.34,36353.24
PAY-00002,MER-001,CUS-0070,ORD-000002,4575.21,INR,captured,2026-08-14,card,82.35,14.82,4478.04
PAY-00003,MER-001,CUS-0028,ORD-000003,11824.88,INR,captured,2026-08-20,card,212.85,38.31,11573.72
PAY-00004,MER-002,CUS-0070,ORD-000004,21121.11,INR,captured,2026-08-15,netbanking,380.18,68.43,20672.50
PAY-00005,MER-002,CUS-0055,ORD-000005,17177.46,INR,captured,2026-08-05,upi,309.19,55.65,16812.62
PAY-00006,MER-001,CUS-0012,ORD-000006,19151.38,INR,captured,2026-08-12,netbanking,344.72,62.05,18744.61
PAY-00007,MER-003,CUS-0006,ORD-000007,36554.16,INR,captured,2026-08-18,card,657.97,118.43,35777.76
PAY-00008,MER-001,CUS-0071,ORD-000008,14835.62,INR,captured,2026-08-21,netbanking,267.04,48.07,14520.51
PAY-00009,MER-002,CUS-0009,ORD-000009,2529.76,INR,captured,2026-08-08,netbanking,45.54,8.20,2476.02
PAY-00010,MER-002,CUS-0013,ORD-000010,19161.28,INR,captured,2026-08-15,netbanking,344.90,62.08,18754.30
PAY-00011,MER-003,CUS-0046,ORD-000011,10672.97,INR,captured,2026-08-09,card,192.11,34.58,10446.28
PAY-00012,MER-002,CUS-0069,ORD-000012,36524.06,INR,captured,2026-08-06,wallet,657.43,118.34,35748.29
PAY-00013,MER-003,CUS-0072,ORD-000013,11175.85,INR,captured,2026-08-11,card,201.17,36.21,10938.47
PAY-00014,MER-003,CUS-0052,ORD-000014,13570.11,INR,captured,2026-08-07,netbanking,244.26,43.97,13281.88
PAY-00015,MER-004,CUS-0051,ORD-000015,44262.99,INR,captured,2026-08-21,wallet,796.73,143.41,43322.85
PAY-00016,MER-003,CUS-0018,ORD-000016,12519.72,INR,captured,2026-08-18,netbanking,225.35,40.56,12253.81
PAY-00017,MER-004,CUS-0075,ORD-000017,20120.18,INR,captured,2026-08-08,upi,362.16,65.19,19692.83
PAY-00018,MER-004,CUS-0012,ORD-000018,37850.16,INR,captured,2026-08-04,upi,681.30,122.63,37046.23
PAY-00019,MER-002,CUS-0055,ORD-000019,29921.35,INR,captured,2026-08-13,wallet,538.58,96.94,29285.83
PAY-00020,MER-003,CUS-0071,ORD-000020,43073.79,INR,captured,2026-08-01,card,775.33,139.56,42158.90
PAY-00021,MER-003,CUS-0044,ORD-000021,5799.72,INR,captured,2026-08-14,upi,104.39,18.79,5676.54
PAY-00022,MER-001,CUS-0034,ORD-000022,48601.43,INR,captured,2026-08-06,card,874.83,157.47,47569.13
PAY-00023,MER-003,CUS-0065,ORD-000023,30546.27,INR,captured,2026-08-05,netbanking,549.83,98.97,29897.47
PAY-00024,MER-001,CUS-0077,ORD-000024,16376.76,INR,captured,2026-08-01,card,294.78,53.06,16028.92
PAY-00025,MER-003,CUS-0031,ORD-000025,3131.78,INR,captured,2026-08-19,card,56.37,10.15,3065.26
PAY-00026,MER-004,CUS-0009,ORD-000026,48904.73,INR,captured,2026-08-18,upi,880.29,158.45,47865.99
PAY-00027,MER-002,CUS-0034,ORD-000027,26501.77,INR,captured,2026-08-20,wallet,477.03,85.87,25938.87
PAY-00028,MER-002,CUS-0040,ORD-000028,20099.87,INR,captured,2026-08-21,netbanking,361.80,65.12,19672.95
PAY-00029,MER-004,CUS-0016,ORD-000029,12583.30,INR,captured,2026-08-03,netbanking,226.50,40.77,12316.03
PAY-00030,MER-002,CUS-0076,ORD-000030,11205.81,INR,captured,2026-08-03,card,201.70,36.31,10967.80
PAY-00031,MER-001,CUS-0005,ORD-000031,43016.86,INR,captured,2026-08-03,upi,774.30,139.37,42103.19
PAY-00032,MER-004,CUS-0028,ORD-000032,27076.89,INR,captured,2026-08-19,wallet,487.38,87.73,26501.78
PAY-00033,MER-004,CUS-0053,ORD-000033,9722.89,INR,captured,2026-08-04,wallet,175.01,31.50,9516.38
PAY-00034,MER-004,CUS-0053,ORD-000034,23484.48,INR,captured,2026-08-02,card,422.72,76.09,22985.67
PAY-00035,MER-004,CUS-0044,ORD-000035,40079.48,INR,captured,2026-08-04,upi,721.43,129.86,39228.19
PAY-00036,MER-002,CUS-0069,ORD-000036,22568.52,INR,captured,2026-08-14,upi,406.23,73.12,22089.17
PAY-00037,MER-004,CUS-0032,ORD-000037,43755.68,INR,captured,2026-08-03,wallet,787.60,141.77,42826.31
PAY-00038,MER-001,CUS-0007,ORD-000038,32694.21,INR,captured,2026-08-18,card,588.50,105.93,31999.78
PAY-00039,MER-002,CUS-0022,ORD-000039,20469.10,INR,captured,2026-08-16,upi,368.44,66.32,20034.34
