settlement_id,payment_id,settled_amount,settlement_date,settlement_status,reference
SET-00001,PAY-00001,37142.14,2026-08-09,settled,BANKREF-0000001
SET-00002,PAY-00002,4575.21,2026-08-15,settled,BANKREF-0000002
SET-00003,PAY-00003,11824.88,2026-08-23,settled,BANKREF-0000003
SET-00004,PAY-00004,21121.11,2026-08-16,settled,BANKREF-0000004
SET-00005,PAY-00005,17177.46,2026-08-07,settled,BANKREF-0000005
SET-00006,PAY-00006,19151.38,2026-08-15,settled,BANKREF-0000006
SET-00007,PAY-00007,36554.16,2026-08-20,settled,BANKREF-0000007
SET-00008,PAY-00008,14835.62,2026-08-24,settled,BANKREF-0000008
SET-00009,PAY-00009,2529.76,2026-08-09,settled,BANKREF-0000009
SET-00010,PAY-00010,19161.28,2026-08-16,settled,BANKREF-0000010
SET-00011,PAY-00011,10672.97,2026-08-12,settled,BANKREF-0000011
SET-00012,PAY-00012,36524.06,2026-08-08,settled,BANKREF-0000012
SET-00013,PAY-00013,11175.85,2026-08-12,settled,BANKREF-0000013
SET-00014,PAY-00014,13570.11,2026-08-08,settled,BANKREF-0000014
SET-00015,PAY-00015,44262.99,2026-08-22,settled,BANKREF-0000015
SET-00016,PAY-00016,12519.72,2026-08-21,settled,BANKREF-0000016
SET-00018,PAY-00018,37850.16,2026-08-07,settled,BANKREF-0000018
SET-00019,PAY-00019,29423.10,2026-08-16,settled,BANKREF-0000019
SET-00020,PAY-00020,43073.79,2026-08-04,settled,BANKREF-0000020
SET-00021,PAY-00021,5799.72,2026-08-16,settled,BANKREF-0000021
SET-00022,PAY-00022,48601.43,2026-08-09,settled,BANKREF-0000022
SET-00023,PAY-00023,30546.27,2026-08-13,settled,BANKREF-0000023
SET-00024,PAY-00024,16376.76,2026-08-03,settled,BANKREF-0000024
SET-00025,PAY-00025,3131.78,2026-08-20,settled,BANKREF-0000025
SET-00026,PAY-00026,48904.73,2026-08-19,settled,BANKREF-0000026
SET-00027,PAY-00027,26501.77,2026-08-21,settled,BANKREF-0000027
SET-00028,PAY-00028,20099.87,2026-08-23,settled,BANKREF-0000028
SET-00029,PAY-00029,12583.30,2026-08-04,settled,BANKREF-0000029
SET-DUP-00029,PAY-00029,12583.30,2026-08-05,settled,BANKREF-DUP-0000029
SET-00030,PAY-00030,11205.81,2026-08-04,settled,BANKREF-0000030
SET-00031,PAY-00031,43016.86,2026-08-05,settled,BANKREF-0000031
SET-00032,PAY-00032,27076.89,2026-08-20,settled,BANKREF-0000032
SET-00033,PAY-00033,9722.89,2026-08-06,settled,BANKREF-0000033
SET-00035,PAY-00035,40079.48,2026-08-05,settled,BANKREF-0000035
SET-00036,PAY-00036,22568.52,2026-08-16,settled,BANKREF-0000036
SET-00037,PAY-00037,43755.68,2026-08-06,settled,BANKREF-0000037
SET-00038,PAY-00038,32227.34,2026-08-19,settled,BANKREF-0000038
SET-00039,PAY-00039,20469.10,2026-08-18,settled,BANKREF-0000039
SET-00040,PAY-00040,357.23,2026-08-15,settled,BANKREF-0000040
SET-00041,PAY-00041,34905.43,2026-08-19,settled,BANKREF-0000041
SET-00042,PAY-00042,11080.62,2026-08-05,settled,BANKREF-0000042
SET-00043,PAY-00043,2744.58,2026-08-17,settled,BANKREF-0000043
SET-00044,PAY-00044,3658.94,2026-08-05,settled,BANKREF-0000044
SET-00045,PAY-00045,12499.21,2026-08-23,settled,BANKREF-0000045
SET-00046,PAY-00046,32954.31,2026-08-27,settled,BANKREF-0000046
SET-00047,PAY-00047,12124.63,2026-08-16,settled,BANKREF-0000047
SET-00048,PAY-00048,15979.82,2026-08-05,settled,BANKREF-0000048
SET-00049,PAY-00049,26997.31,2026-08-18,settled,BANKREF-0000049
SET-00050,PAY-00050,43993.69,2026-08-13,settled,BANKREF-0000050
SET-00052,PAY-00052,46961.77,2026-08-06,settled,BANKREF-0000052
SET-00053,PAY-00053,14267.37,2026-08-08,settled,BANKREF-0000053
SET-00054,PAY-00054,24554.46,2026-08-05,settled,BANKREF-0000054
SET-00055,PAY-00055,2443.32,2026-08-14,settled,BANKREF-0000055
SET-00056,PAY-00056,37126.24,2026-08-21,settled,BANKREF-0000056
SET-00057,PAY-00057,3681.25,2026-08-07,settled,BANKREF-0000057
SET-00058,PAY-00058,6590.41,2026-08-11,settled,BANKREF-0000058
SET-DUP-00058,PAY-00058,6590.41,2026-08-12,settled,BANKREF-DUP-0000058
SET-00059,PAY-00059,34182.82,2026-08-07,settled,BANKREF-0000059
SET-00060,PAY-00060,37536.51,2026-08-09,settled,BANKREF-0000060
SET-00061,PAY-00061,9173.19,2026-08-14,settled,BANKREF-0000061
SET-00062,PAY-00062,8170.09,2026-08-05,settled,BANKREF-0000062
SET-00063,PAY-00063,10178.75,2026-08-17,settled,BANKREF-0000063
SET-00064,PAY-00064,1427.31,2026-08-09,settled,BANKREF-0000064
SET-00065,PAY-00065,48352.73,2026-08-12,settled,BANKREF-0000065
SET-00066,PAY-00066,5988.25,2026-08-12,settled,BANKREF-0000066
SET-00067,PAY-00067,5643.03,2026-08-17,settled,BANKREF-0000067
SET-00069,PAY-00069,2458.23,2026-08-22,settled,BANKREF-0000069
SET-00070,PAY-00070,21707.05,2026-08-14,settled,BANKREF-0000070
SET-00071,PAY-00071,25479.34,2026-08-16,settled,BANKREF-0000071
SET-00072,PAY-00072,6582.57,2026-08-17,settled,BANKREF-0000072
SET-00073,PAY-00073,28562.99,2026-08-15,settled,BANKREF-0000073
SET-00074,PAY-00074,21636.94,2026-08-21,settled,BANKREF-0000074
SET-00075,PAY-00075,33862.45,2026-08-20,settled,BANKREF-0000075
SET-00076,PAY-00076,13950.08,2026-08-22,settled,BANKREF-0000076
SET-00077,PAY-00077,11425.87,2026-08-08,settled,BANKREF-0000077
SET-00078,PAY-00078,49200.82,2026-08-22,settled,BANKREF-0000078
